lightdm-gtk-greeter-settings 1.2.2-6
lilv 0.24.12-1
linux-api-headers 5.12.3-1
linux-firmware 20210919.d526e04-1
linux-lts-tkg-muqss 5.10.47-176
linux-lts-tkg-muqss-headers 5.10.47-176
linux-tkg-muqss 5.13.19-202
linux-tkg-muqss-headers 5.13.19-202
linux-zen 5.14.7.zen1-1
llvm-libs 12.0.1-4
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lpsolve 5.5.2.11-1
lua-format 1.3.6-1
lua-language-server 2.3.6-1
lua51-filesystem 1.8.0-3
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-3
luajit 2.0.5-3
luakit 2.3-1
lutris 0.5.8.4-1
lxappearance 0.6.3-4
lxmenu-data 0.1.5-3
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-2
menu-cache 1.1.0-2
mesa 21.2.2-1
mesa-demos 8.4.0-4
meson 0.59.1-1
minizip 1:1.2.11-4
mjpegtools 2.2.1-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20210805-1
mpfr 4.1.0.p13-1
mpg123 1.29.0-1
mpv 1:0.33.1-3
msgpack-c 4.0.0-1
mtdev 1.1.6-1
mujs 1.1.3-1
nasm 2.15.05-1
ncpamixer 1.3.3.1-1
ncurses 6.2-2
neofetch 7.1.0-2
neon 0.32.1-1
neovim 0.5.0-1
nerd-fonts-dejavu-complete 2.1.0-3
nerd-fonts-fira-code 2.1.0-2
net-snmp 5.9.1-1
netpbm 10.73.36-1
nettle 3.7.3-1
networkmanager 1.32.12-1
ninja 1.10.2-1
nmap 7.92-1
node-gyp 8.2.0-1
nodejs 16.10.0-1
nodejs-nopt 5.0.0-2
nordic-theme 2.0.0-1
noto-fonts 20201226-2
noto-fonts-emoji 20210625-1
npm 7.24.0-1
npth 1.6-3
nspr 4.32-1
nss 3.70-1
